baseline,height,x,y,sigma_x,sigma_y,fwhm_x,fwhm_y,fwhm,error_baseline,error_height,error_x,error_y,error_sigma_x,error_sigma_y,error_fwhm_x,error_fwhm_y,error_fwhm,slice
112.328,214.969,890.647,192.210,1.665,1.364,3.920,3.212,3.566,2.469,6.964,0.054,0.044,0.064,0.054,0.151,0.126,0.098,8
106.599,161.336,111.157,530.644,1.473,1.403,3.469,3.303,3.386,1.437,4.460,0.041,0.039,0.048,0.046,0.113,0.108,0.078,8
101.882,155.918,790.541,451.624,1.699,1.537,4.002,3.620,3.811,1.567,3.713,0.040,0.036,0.051,0.046,0.119,0.109,0.081,8
103.367,146.826,794.984,265.739,1.546,1.776,3.642,4.181,3.911,1.611,3.525,0.037,0.042,0.049,0.054,0.114,0.128,0.086,8
106.273,140.816,92.042,473.985,1.680,1.545,3.956,3.638,3.797,1.511,3.522,0.042,0.038,0.053,0.049,0.125,0.116,0.085,8
105.299,145.658,950.490,180.655,1.701,1.820,4.005,4.285,4.145,2.431,4.737,0.054,0.059,0.074,0.078,0.174,0.184,0.127,8
106.460,123.334,632.652,133.169,1.698,1.568,3.999,3.691,3.845,2.345,5.338,0.073,0.067,0.093,0.087,0.220,0.206,0.150,8
102.071,129.378,363.113,362.376,1.701,1.514,4.007,3.566,3.786,1.400,3.336,0.044,0.039,0.055,0.050,0.129,0.117,0.087,8
107.268,128.361,589.286,546.403,1.591,1.488,3.746,3.503,3.625,1.738,4.617,0.057,0.053,0.070,0.066,0.164,0.155,0.113,8
107.465,114.029,116.133,572.903,1.972,1.657,4.644,3.901,4.273,1.848,3.189,0.054,0.045,0.075,0.066,0.177,0.155,0.118,8
101.502,113.085,148.144,556.065,1.916,1.743,4.512,4.105,4.309,1.651,2.711,0.045,0.041,0.064,0.060,0.151,0.141,0.104,8
105.469,117.774,818.584,567.685,1.626,2.027,3.830,4.772,4.301,2.317,4.189,0.056,0.071,0.080,0.096,0.188,0.225,0.147,8
110.447,114.564,774.242,471.662,2.117,1.686,4.984,3.969,4.477,2.644,4.185,0.075,0.059,0.107,0.090,0.252,0.212,0.164,8
106.766,111.977,521.443,489.199,1.913,1.635,4.506,3.850,4.178,2.446,4.607,0.078,0.066,0.105,0.092,0.247,0.217,0.164,8
102.870,109.364,880.255,620.302,1.922,1.825,4.527,4.298,4.412,2.298,3.560,0.061,0.058,0.090,0.086,0.211,0.203,0.146,8
111.093,113.369,71.272,590.351,1.422,1.426,3.349,3.357,3.353,1.740,5.524,0.069,0.069,0.081,0.081,0.191,0.191,0.135,8
114.472,109.856,89.163,843.391,1.651,1.394,3.889,3.283,3.586,1.478,4.078,0.061,0.052,0.073,0.063,0.173,0.149,0.114,8
108.347,107.241,11.263,401.484,1.973,1.302,4.645,3.067,3.856,1.659,4.272,0.078,0.051,0.094,0.064,0.222,0.151,0.134,8
