baseline	height	x	y	sigma_x	sigma_y	fwhm_x	fwhm_y	fwhm	error_baseline	error_height	error_x	error_y	error_sigma_x	error_sigma_y	error_fwhm_x	error_fwhm_y	error_fwhm	slice
372.061	232.996	1644.622	132.784	3.951	4.663	9.304	10.981	10.142	38.519	34.632	0.112	0.152	0.589	0.690	1.386	1.624	1.068	4
282.659	319.465	1644.859	132.874	4.949	5.761	11.653	13.566	12.610	41.228	37.707	0.156	0.229	0.588	0.695	1.385	1.636	1.072	4
312.096	158.126	390.945	1307.200	2.815	2.504	6.629	5.897	6.263	7.699	8.692	0.141	0.121	0.244	0.216	0.575	0.509	0.384	4
302.798	133.053	1919.210	14.074	3.214	3.341	7.568	7.867	7.718	15.480	13.119	0.154	0.162	0.452	0.463	1.064	1.090	0.762	4
348.917	125.775	918.496	1799.032	2.882	2.051	6.787	4.830	5.808	6.115	9.663	0.215	0.149	0.303	0.224	0.713	0.527	0.443	4
343.096	127.224	900.570	1812.991	2.435	2.398	5.735	5.647	5.691	7.392	9.997	0.182	0.178	0.288	0.283	0.678	0.666	0.475	4
322.149	121.363	279.467	438.963	2.453	2.479	5.776	5.838	5.807	6.060	8.344	0.159	0.163	0.247	0.254	0.582	0.598	0.417	4
337.749	115.806	383.150	807.946	2.261	2.199	5.324	5.179	5.251	5.091	8.844	0.170	0.164	0.239	0.232	0.562	0.546	0.392	4
310.595	150.330	1640.954	111.221	4.550	3.911	10.714	9.210	9.962	20.319	17.827	0.260	0.262	0.657	0.672	1.548	1.582	1.106	4
365.996	238.915	1644.626	132.945	4.060	4.490	9.561	10.572	10.067	16.769	14.538	0.181	0.201	0.386	0.402	0.909	0.948	0.656	4
376.361	93.947	1956.269	1057.555	2.370	2.945	5.581	6.935	6.258	8.706	9.749	0.214	0.275	0.398	0.468	0.937	1.101	0.723	4
352.247	111.016	628.976	1322.656	2.148	2.030	5.058	4.781	4.919	4.165	8.338	0.160	0.151	0.213	0.204	0.502	0.480	0.347	4
344.423	110.220	1162.564	1753.404	3.873	3.003	9.119	7.071	8.095	18.339	15.748	0.281	0.198	0.742	0.610	1.747	1.437	1.131	4
310.293	106.308	1116.114	85.058	3.101	2.755	7.302	6.487	6.894	9.525	8.612	0.180	0.156	0.391	0.362	0.921	0.852	0.627	4
337.580	105.027	884.604	476.598	2.335	2.440	5.499	5.746	5.623	6.194	8.985	0.191	0.201	0.293	0.303	0.690	0.714	0.497	4
349.372	97.857	1270.999	345.760	2.920	2.088	6.876	4.917	5.897	6.230	8.580	0.245	0.170	0.365	0.281	0.859	0.662	0.542	4
326.266	121.869	1248.339	886.437	3.394	2.946	7.993	6.938	7.465	8.307	8.245	0.199	0.163	0.361	0.318	0.851	0.748	0.567	4
326.625	92.801	1652.026	1039.896	3.242	3.303	7.635	7.779	7.707	11.352	10.077	0.228	0.231	0.531	0.532	1.251	1.253	0.885	4
330.956	93.231	1272.697	317.780	1.760	1.857	4.145	4.372	4.259	3.427	9.960	0.188	0.198	0.225	0.237	0.531	0.557	0.385	4
335.495	87.842	1547.006	452.198	2.536	2.255	5.971	5.311	5.641	6.319	9.840	0.272	0.244	0.390	0.363	0.919	0.855	0.628	4
332.293	84.497	796.260	599.213	2.480	2.509	5.839	5.908	5.874	6.158	8.563	0.242	0.238	0.378	0.365	0.889	0.859	0.618	4
331.587	89.996	775.321	610.387	2.994	2.447	7.050	5.762	6.406	8.711	10.309	0.332	0.248	0.544	0.430	1.281	1.011	0.816	4
324.664	89.327	658.331	137.971	2.639	2.802	6.214	6.599	6.407	8.312	9.074	0.231	0.254	0.417	0.454	0.981	1.069	0.725	4
322.694	92.580	1522.936	32.000	2.390	2.473	5.628	5.823	5.725	5.985	8.426	0.206	0.217	0.318	0.335	0.748	0.788	0.543	4
322.313	105.558	718.902	1378.604	2.674	3.049	6.296	7.179	6.738	6.490	8.013	0.195	0.209	0.327	0.328	0.771	0.773	0.546	4
336.300	96.600	744.778	1408.742	2.388	1.756	5.623	4.135	4.879	4.007	9.294	0.229	0.166	0.286	0.214	0.674	0.505	0.421	4
345.732	89.331	542.476	1377.265	1.898	2.087	4.470	4.915	4.692	4.114	9.487	0.201	0.221	0.258	0.280	0.607	0.658	0.448	4
330.005	81.531	168.955	808.905	1.990	2.542	4.686	5.987	5.336	4.484	8.102	0.192	0.247	0.271	0.332	0.638	0.782	0.505	4
326.282	106.430	545.393	1327.306	3.117	2.898	7.340	6.823	7.082	8.477	8.326	0.189	0.182	0.363	0.367	0.854	0.865	0.608	4
355.365	89.482	611.855	439.309	3.044	2.541	7.167	5.983	6.575	9.594	10.175	0.314	0.242	0.557	0.457	1.312	1.076	0.848	4
326.000	87.456	733.799	1389.742	2.732	2.816	6.434	6.632	6.533	7.789	8.479	0.234	0.233	0.426	0.412	1.003	0.970	0.697	4
341.286	74.738	895.700	184.452	2.049	2.094	4.824	4.932	4.878	4.938	10.427	0.283	0.290	0.372	0.379	0.876	0.892	0.625	4
341.750	88.663	658.039	703.802	2.832	2.008	6.669	4.728	5.699	5.218	8.709	0.279	0.188	0.388	0.275	0.914	0.647	0.560	4
342.001	82.268	776.638	1381.553	3.011	2.325	7.091	5.475	6.283	6.490	7.658	0.258	0.191	0.422	0.341	0.994	0.804	0.639	4
322.995	80.480	1098.143	69.227	2.806	3.662	6.608	8.622	7.615	12.856	11.119	0.213	0.300	0.595	0.722	1.400	1.700	1.101	4
332.469	81.619	1974.583	926.531	3.066	2.594	7.220	6.108	6.664	7.508	8.958	0.300	0.258	0.485	0.446	1.143	1.050	0.776	4
338.591	81.324	1111.776	1771.258	2.384	2.299	5.615	5.414	5.515	5.407	9.049	0.261	0.247	0.371	0.351	0.874	0.827	0.602	4
334.135	83.374	945.586	1943.636	2.990	2.751	7.041	6.478	6.759	10.188	9.823	0.276	0.252	0.549	0.522	1.292	1.230	0.892	4
329.757	80.419	282.606	419.480	1.968	2.618	4.634	6.164	5.399	5.028	8.782	0.208	0.282	0.300	0.383	0.707	0.902	0.573	4
320.277	87.351	391.034	438.972	2.836	3.088	6.678	7.271	6.974	8.292	8.280	0.216	0.243	0.423	0.459	0.996	1.080	0.735	4
