n	ChainAxis	ChainDia	CellAxis	DiaP	CellDiaM	GFPfluor	GFPMean	GFPMax	GFPMid	allSepta	manSepta	manTrace	Thr	startX	startY	barX	barY	barW	barH	SeptaPos	ParentID	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	Y1	Y2	Y3	Y4	Y5	Y6	Y7	Y8	Y9	Y10	Y11	Frame
1	6.2234	0.5919											11802.9570	1252.0000	357.0000	30	0	125	33	 61 111	-1																							1
2	7.3931	0.8393											11802.9570	367.0000	385.0000	185	0	148	33	 23 72	-2																							1
3	7.6302	0.6299											11802.9570	1323.0000	473.0000	363	0	153	33	 86	-3																							1
4	4.7453	0.6765											11802.9570	1332.0000	547.0000	546	0	95	33	 40	-4																							1
5	7.9846	0.8096											11802.9570	30.0000	655.0000	671	0	160	33	 73 107 139	-5																							1
6	7.3840	0.5073											11802.9570	1824.0000	732.0000	861	0	148	33	25 85 	-6																							1
7	9.1698	0.6056											11802.9570	1883.0000	732.0000	30	50	184	33	64 107 142 	-7																							1
8	6.1582	0.6098											11802.9570	1903.0000	741.0000	244	50	124	33	20 44 89 	-8																							1
9	5.6058	0.8632											11802.9570	337.0000	962.0000	398	50	113	33	 49	-9																							1
10	6.8282	0.8632											11802.9570	941.0000	1052.0000	541	50	137	33	 12 68	-10																							1
11	7.3544	0.6115											11802.9570	1612.0000	1438.0000	708	50	148	33	 77	-11																							1
12	5.6748	1.5280											11802.9570	554.0000	1534.0000	886	50	114	33	 17 84	-12																							1
13	9.9509	0.8192											11802.9570	692.0000	1544.0000	30	100	200	33	78 102 136 	-13																							1
14	6.9315	0.6080											11802.9570	1680.0000	1570.0000	260	100	139	33	25 71 	-14																							1
15	4.9068	1.9817											11802.9570	177.0000	1667.0000	429	100	99	33	52 	-15																							1
16	5.3959	0.8516											11802.9570	1168.0000	1716.0000	558	100	109	33	 49	-16																							1
17	8.3305	0.7795											11802.9570	1855.0000	1736.0000	697	100	167	33	 27 78 151	-17																							1
18	6.7689	0.8498											11802.9570	951.0000	1891.0000	894	100	136	33	 42 121	-18																							1
19	5.8034	0.8529											10111.3125	78.0000	85.0000	1060	100	117	33	 32 64 87	-19																							5
20	10.3510	0.8059											10111.3125	1313.0000	264.0000	30	150	208	33	 53 101 149	-20																							5
21	7.3685	0.8188											10111.3125	27.0000	645.0000	268	150	148	33	17 70.01 	-21																							5
22	7.4680	0.8916											10111.3125	377.0000	665.0000	446	150	150	33	25 84 101 	-22																							5
23	6.4018	0.8837											10111.3125	628.0000	733.0000	626	150	129	33	30 84 115 	-23																							5
24	7.1520	0.8540											10111.3125	1463.0000	1238.0000	785	150	144	33	 16 54 81	-24																							5
25	9.0655	0.8532											10111.3125	732.0000	1291.0000	959	150	182	33	 35 83 131	-25																							5
26	6.7553	0.8684											10111.3125	812.0000	1710.0000	30	200	136	33	13 63 114 	-26																							5
27	4.5433	0.8898											10111.3125	1969.0000	1712.0000	196	200	91	33	40 	-27																							5
28	4.7217	0.6925											9885.6992	1890.0000	211.0000	317	200	95	33	 28 53	-28																							9
29	7.2115	0.8535											9885.6992	168.0000	650.0000	442	200	145	33	 72 111	-29																							9
30	4.9228	0.8743											9885.6992	93.0000	720.0000	617	200	99	33	 45	-30																							9
31	4.5955	0.8658											9885.6992	295.0000	724.0000	746	200	92	33	 42	-31																							9
32	9.3182	0.8099											9885.6992	1571.0000	949.0000	868	200	187	33	62.01 99.01 151 	-32																							9
33	8.9147	1.5048											9885.6992	855.0000	1161.0000	30	250	179	33	 29 82 131	-33																							9
34	12.7040	0.8253											9885.6992	396.0000	1524.0000	239	250	255	33	 16 67 110 173 229	-34																							9
35	6.4105	0.8345											9885.6992	814.0000	1586.0000	524	250	129	33	22 49.01 72.01 96 	-35																							9
36	6.8177	0.8040											9885.6992	1772.0000	1863.0000	683	250	137	33	 34 64	-36																							9
37	7.6399	0.7842											10145.1875	1139.0000	66.0000	850	250	153	33	 94	-37																							13
38	6.8250	0.8463											10145.1875	1863.0000	101.0000	1033	250	137	33	19 67 	-38																							13
39	12.6327	0.6780											10145.1875	1141.0000	132.0000	30	300	253	33	56 140 182 218.01 	-39																							13
40	7.8559	0.7445											10145.1875	1187.0000	218.0000	313	300	158	33	31 77 135.01 	-40																							13
41	4.4507	0.7680											10145.1875	1720.0000	903.0000	501	300	90	33	 29	-41																							13
42	12.4586	0.6820											10145.1875	1738.0000	950.0000	621	300	250	33	67 120 170.01 	-42																							13
43	4.1078	0.5298											10145.1875	1720.0000	998.0000	901	300	83	33	 45	-43																							13
44	5.9350	0.5246											10145.1875	1706.0000	1019.0000	1014	300	119	33	 15 68 101	-44																							13
45	4.6296	0.6044											10145.1875	1684.0000	1027.0000	30	350	93	33	 35	-45																							13
46	3.4384	0.6743											10145.1875	828.0000	1340.0000	153	350	69	33	42 	-46																							13
47	6.3320	0.6146											10145.1875	824.0000	1363.0000	252	350	127	33	30.01 114 	-47																							13
48	5.3812	0.6674											10145.1875	807.0000	1375.0000	409	350	108	33	51 	-48																							13
49	18.4019	0.8302											10145.1875	587.0000	1574.0000	547	350	369	33	 131 236 277	-49																							13
50	6.3537	0.7338											10145.1875	575.0000	1662.0000	946	350	128	33	57 105 	-50																							13
51	9.4092	0.7845											10433.8047	1387.0000	120.0000	30	400	189	33	112 163.01 	-51																							17
52	3.8316	0.5691											10433.8047	1306.0000	200.0000	249	400	77	33	12.01 	-52																							17
53	8.1061	0.6032											10433.8047	1248.0000	220.0000	356	400	163	33	 64 129	-53																							17
54	2.5776	0.5021											10433.8047	1275.0000	252.0000	549	400	52	33	21.01 	-54																							17
55	3.6357	0.5644											10433.8047	1324.0000	283.0000	631	400	73	33	45.01 	-55																							17
56	4.8748	0.7053											10433.8047	1317.0000	367.0000	734	400	98	33		-56																							17
57	7.4766	0.8379											10433.8047	432.0000	457.0000	862	400	150	33	67 123 	-57																							17
58	8.0708	0.8296											10433.8047	247.0000	978.0000	30	450	162	33	 48 109	-58																							17
59	8.6726	0.8524											10433.8047	241.0000	1201.0000	222	450	174	33	86.01 	-59																							17
60	5.4638	0.8681											10433.8047	1826.0000	1371.0000	426	450	110	33	 54	-60																							17
61	9.5749	0.7461											10433.8047	839.0000	1629.0000	566	450	192	33	84 153 	-61																							17
62	7.6190	0.7218											10433.8047	711.0000	1647.0000	788	450	153	33	77 142 	-62																							17
63	6.6612	0.7521											10433.8047	806.0000	1700.0000	971	450	134	33	36.01 62 95 	-63																							17
64	6.2831	0.7911											9889.5625	888.0000	227.0000	30	500	126	33	59.01 	-64																							21
65	5.4387	0.8252											9889.5625	966.0000	422.0000	186	500	109	33	49.01 	-65																							21
66	8.2243	0.7856											9889.5625	1281.0000	431.0000	325	500	165	33	74.01 	-66																							21
67	4.8445	0.8372											9889.5625	1385.0000	510.0000	520	500	98	33	13 48 	-67																							21
68	5.4715	0.8292											9889.5625	1949.0000	643.0000	648	500	110	33	60.01 	-68																							21
69	11.0151	0.8186											9889.5625	590.0000	1052.0000	788	500	221	33	114.01 	-69																							21
70	5.5533	0.8123											9889.5625	551.0000	1185.0000	1039	500	112	33	92.01 	-70																							21
71	10.6438	0.8378											9889.5625	1397.0000	1268.0000	30	550	214	33	66 150 189 	-71																							21
72	10.2330	0.7487											9889.5625	1097.0000	1284.0000	274	550	205	33	19 75.01 114 180 	-72																							21
73	6.0478	0.8448											9889.5625	1666.0000	1350.0000	509	550	122	33	63.01 	-73																							21
74	7.6816	0.8148											9889.5625	1173.0000	1360.0000	661	550	154	33	75 120 	-74																							21
75	9.5168	0.8027											9889.5625	969.0000	1512.0000	845	550	191	33	15 100 147 	-75																							21
76	7.1084	0.8799											9889.5625	1802.0000	1718.0000	30	600	143	33	25 71 129 	-76																							21
77	9.4347	0.8251											9889.5625	710.0000	1845.0000	203	600	189	33	97.01 	-77																							21
78	12.3127	0.7760											9736.5938	1227.0000	126.0000	422	600	247	33	74 124 183 227 	-78																							25
79	12.0127	0.7972											9736.5938	1555.0000	351.0000	699	600	241	33	27 111 217 	-79																							25
80	6.8774	0.8717											9736.5938	1552.0000	424.0000	970	600	138	33	77 124.01 	-80																							25
81	5.6465	0.8405											9736.5938	1124.0000	428.0000	30	650	114	33	 35 68	-81																							25
82	6.2102	0.8154											9736.5938	1297.0000	473.0000	174	650	125	33	 59	-82																							25
83	9.7130	0.7732											9736.5938	1974.0000	528.0000	329	650	195	33	 41 95 151	-83																							25
84	6.1686	0.7613											9736.5938	2021.0000	826.0000	554	650	124	33	67 	-84																							25
85	6.8036	0.8545											9736.5938	1812.0000	834.0000	708	650	137	33	 33 100	-85																							25
86	9.0968	0.8539											9736.5938	1041.0000	1102.0000	875	650	182	33	 84	-86																							25
87	7.5730	0.7811											9736.5938	1908.0000	1106.0000	30	700	152	33	84 	-87																							25
88	9.9855	0.8385											9736.5938	195.0000	1262.0000	212	700	200	33	114.01 	-88																							25
89	10.6444	0.7984											9736.5938	752.0000	1316.0000	442	700	214	33	56 118 161 	-89																							25
90	8.4057	0.7800											9736.5938	1304.0000	1544.0000	686	700	169	33	37 85 	-90																							25
91	8.0191	0.8486											9736.5938	816.0000	1615.0000	885	700	161	33	 77 106 123	-91																							25
92	6.8813	0.8042											9736.5938	1364.0000	1719.0000	30	750	138	33	67 	-92																							25
93	10.0299	0.7922											9687.6250	501.0000	103.0000	198	750	201	33	 20 92 138 169	-93																							29
94	5.5919	0.6772											9687.6250	296.0000	167.0000	429	750	112	33	65 	-94																							29
95	6.9694	0.7034											9687.6250	175.0000	169.0000	571	750	140	33	 38 70	-95																							29
96	6.0161	0.6045											9687.6250	290.0000	184.0000	741	750	121	33	58.01 	-96																							29
